month,raw_esm,sintered_esm,net_savings
0,684.3,2188.1,-1503.8
1,871.4,2215.7,-1344.3
2,1058.5,2243.4,-1184.9
3,1245.6,2271.1,-1025.5
4,1432.7,2298.8,-866.1
5,1619.8,2326.4,-706.6
6,1806.9,2354.1,-547.2
7,1994.0,2381.8,-387.8
8,2181.1,2409.4,-228.3
9,2368.2,2437.1,-68.9
10,2555.3,2464.8,90.5
11,2742.4,2492.4,250.0
12,2929.5,2520.1,409.4
13,3116.6,2547.8,568.8
14,3303.7,2575.5,728.2
15,3490.8,2603.1,887.7
16,3677.9,2630.8,1047.1
17,3865.0,2658.5,1206.5
18,4052.1,2686.1,1366.0
19,4239.2,2713.8,1525.4
20,4426.3,2741.5,1684.8
21,4613.4,2769.1,1844.3
22,4800.5,2796.8,2003.7
23,4987.6,2824.5,2163.1
24,5174.7,2852.2,2322.5
25,5361.8,2879.8,2482.0
26,5548.9,2907.5,2641.4
27,5736.0,2935.2,2800.8
28,5923.1,2962.8,2960.3
29,6110.2,2990.5,3119.7
30,6297.3,3018.2,3279.1
31,6484.4,3045.8,3438.6
32,6671.5,3073.5,3598.0
33,6858.6,3101.2,3757.4
34,7045.7,3128.9,3916.8
35,7232.8,3156.5,4076.3
36,7419.9,3184.2,4235.7
37,7607.0,3211.9,4395.1
38,7794.1,3239.5,4554.6
39,7981.2,3267.2,4714.0
40,8168.3,3294.9,4873.4
41,8355.4,3322.5,5032.9
42,8542.5,3350.2,5192.3
43,8729.6,3377.9,5351.7
44,8916.7,3405.6,5511.1
45,9103.8,3433.2,5670.6
46,9290.9,3460.9,5830.0
47,9478.0,3488.6,5989.4
48,9665.1,3516.2,6148.9
49,9852.2,3543.9,6308.3
50,10039.3,3571.6,6467.7
51,10226.4,3599.2,6627.2
52,10413.5,3626.9,6786.6
53,10600.6,3654.6,6946.0
54,10787.7,3682.3,7105.4
55,10974.8,3709.9,7264.9
56,11161.9,3737.6,7424.3
57,11349.0,3765.3,7583.7
58,11536.1,3792.9,7743.2
59,11723.2,3820.6,7902.6
60,11910.3,3848.3,8062.0
